Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
17008;Porte Pouchet-Bessières;OUI;23;20;2;0;2;OUI;OUI;2024-06-15T12:51:49+02:00;48.8978765, 2.3230632;Paris;
26003;Argenteuil - Voltaire;OUI;16;14;1;0;1;OUI;OUI;2024-06-15T12:51:08+02:00;48.91864865955558, 2.2814112156629562;Asnières-sur-Seine;
22409;Henri Barbusse - Stalingrad;OUI;16;11;5;3;2;OUI;OUI;2024-06-15T12:50:16+02:00;48.814183748660554, 2.2872862592339516;Malakoff;
17004;Legendre - Clichy;OUI;40;36;4;1;3;OUI;OUI;2024-06-15T12:51:21+02:00;48.88896161855884, 2.322528975094376;Paris;
5020;Institut du Monde Arabe - Saint-Germain;OUI;40;5;32;18;14;OUI;OUI;2024-06-15T12:51:53+02:00;48.849063299501, 2.3558086529374;Paris;
12151;Gare de Lyon - Place Louis Armand;OUI;60;5;53;30;23;OUI;OUI;2024-06-15T12:52:06+02:00;48.845515089794, 2.3726498446286;Paris;
19015;Thionville - Ourcq;OUI;24;16;8;6;2;OUI;OUI;2024-06-15T12:48:47+02:00;48.88917613743794, 2.3833653330802917;Paris;
16026;Ranelagh - Mozart;OUI;23;12;9;1;8;OUI;OUI;2024-06-15T12:51:46+02:00;48.8554439, 2.2704418;Paris;
9022;Rossini - Laffitte;OUI;33;30;3;1;2;OUI;OUI;2024-06-15T12:52:22+02:00;48.87334627510507, 2.337980867701675;Paris;
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;16;31;25;6;OUI;OUI;2024-06-15T12:51:26+02:00;48.881949, 2.352339;Paris;
19003;Quai de la Seine;OUI;24;15;9;5;4;OUI;OUI;2024-06-15T12:52:21+02:00;48.884492238407525, 2.3703941702842717;Paris;
26002;Redoute - Les Courtilles;OUI;40;4;36;21;15;OUI;OUI;2024-06-15T12:51:46+02:00;48.929867194519, 2.2836696356535;Asnières-sur-Seine;
8036;Lisbonne - Monceau;OUI;33;26;7;5;2;OUI;OUI;2024-06-15T12:51:18+02:00;48.87745567681383, 2.309694221419506;Paris;
17043;Belidor - Gouvion-Saint-Cyr;OUI;39;34;5;2;3;OUI;OUI;2024-06-15T12:48:56+02:00;48.88022154052015, 2.2854680567979813;Paris;
18107;Chartres - La Charbonnière;OUI;34;32;1;1;0;OUI;OUI;2024-06-15T12:50:41+02:00;48.8847601, 2.3534657;Paris;
11002;Roquette - Thiéré;OUI;23;10;12;9;3;OUI;OUI;2024-06-15T12:52:04+02:00;48.85507930579506, 2.3733686318721463;Paris;
92007;Pesaro - Préfecture;OUI;22;18;4;1;3;OUI;OUI;2024-06-15T12:48:32+02:00;48.89577046284005, 2.223908342421055;Nanterre;
12111;Claude Decaen - Cannebière;OUI;27;18;8;5;3;OUI;OUI;2024-06-15T12:50:22+02:00;48.83761417037952, 2.397253782195704;Paris;
9028;Moncey - Blanche;OUI;17;15;2;1;1;OUI;OUI;2024-06-15T12:46:00+02:00;48.88006587474148, 2.3310810327529907;Paris;
19043;Delphine Seyrig - Général Leclerc;OUI;53;37;15;2;13;OUI;OUI;2024-06-15T12:50:46+02:00;48.893923963057865, 2.39790290594101;Pantin;
19026;Place de Rhin et Danube;OUI;17;14;3;0;3;OUI;OUI;2024-06-15T12:51:15+02:00;48.88192765861766, 2.392586767673493;Paris;
15067;Desaix - Edgar Faure;OUI;12;9;2;2;0;OUI;OUI;2024-06-15T12:43:49+02:00;48.852804604940296, 2.293077029857222;Paris;
16039;Exelmans - Versailles;OUI;49;26;23;23;0;OUI;OUI;2024-06-15T12:52:04+02:00;48.84097491091973, 2.264390252530575;Paris;
17030;Pereire - Rennequin;OUI;23;21;2;2;0;OUI;OUI;2024-06-15T12:49:08+02:00;48.88364782887555, 2.2952447086572647;Paris;
11023;Saint-Maur - Roquette;OUI;46;15;31;20;11;OUI;OUI;2024-06-15T12:51:24+02:00;48.858688774062955, 2.383553994571467;Paris;
6006;Notre-Dame-des-Champs - Stanislas;OUI;19;9;10;5;5;OUI;OUI;2024-06-15T12:51:09+02:00;48.84479928858768, 2.329337755887181;Paris;
45003;11 Novembre 1918 - 8 Mai 1945;OUI;36;12;23;14;9;OUI;OUI;2024-06-15T12:51:54+02:00;48.80889533774377, 2.5382421165704727;Champigny-sur-Marne;
11027;Saint-Ambroise - Parmentier;OUI;38;15;21;17;4;OUI;OUI;2024-06-15T12:51:27+02:00;48.862147844548, 2.3772348091006;Paris;
8034;Berri - Haussmann;OUI;35;32;2;2;0;OUI;OUI;2024-06-15T12:45:22+02:00;48.874746047357135, 2.3082953318953514;Paris;
8010;Liège - Moscou;OUI;17;16;1;0;1;OUI;OUI;2024-06-15T12:44:19+02:00;48.8795431, 2.3264628;Paris;
11047;Amelot - Saint-Sébastien;OUI;30;4;24;11;13;OUI;OUI;2024-06-15T12:51:28+02:00;48.861142162761, 2.3677996181077;Paris;
11113;Richard Lenoir - Republique;OUI;58;23;33;30;3;OUI;OUI;2024-06-15T12:52:14+02:00;48.8667175, 2.3692541;Paris;
5032;Panthéon - Valette;OUI;39;2;37;10;27;OUI;OUI;2024-06-15T12:51:47+02:00;48.847020571652, 2.3464982619671;Paris;
41302;Charles de Gaulle - Beauté;OUI;49;39;9;3;6;OUI;OUI;2024-06-15T12:48:37+02:00;48.83649602312711, 2.479562651149885;Nogent-sur-Marne;
20042;Pyrénées - Emmery;OUI;40;38;1;0;1;OUI;OUI;2024-06-15T12:51:02+02:00;48.872010281270974, 2.392039597034455;Paris;
14020;Cimetière de Montrouge;OUI;58;53;5;2;3;OUI;OUI;2024-06-15T12:48:11+02:00;48.821466904768, 2.3215785772007;Paris;
43401;Gare RER - Canadiens;OUI;45;19;26;10;16;OUI;OUI;2024-06-15T12:51:01+02:00;48.81995307955795, 2.464176752459464;Joinville-le-Pont;
5018;Mutualité;OUI;37;3;34;29;5;OUI;OUI;2024-06-15T12:51:41+02:00;48.848225572724, 2.3502873256803;Paris;
12128;Pyramide - Ecole du Breuil;OUI;34;31;3;2;1;OUI;OUI;2024-06-15T12:45:08+02:00;48.82237977153955, 2.4586871266365056;Paris;
20112;Jourdain - Place des Grandes Rigoles;OUI;22;19;1;0;1;OUI;OUI;2024-06-15T12:51:04+02:00;48.87403113727167, 2.38959476351738;Paris;
31022;Mairie de Montreuil;OUI;52;36;15;5;10;OUI;OUI;2024-06-15T12:50:00+02:00;48.86131452758348, 2.440614402294159;Montreuil;
43008;Fontenay - Libération;OUI;25;20;5;5;0;OUI;OUI;2024-06-15T12:48:43+02:00;48.84780306364685, 2.445141971111298;Vincennes;
19101;Square Simon Bolivar;OUI;24;20;4;1;3;OUI;OUI;2024-06-15T12:50:46+02:00;48.8750898883217, 2.3826304078102116;Paris;
33102;Gabriel Péri - Francisco Ferrer;OUI;18;12;6;1;5;OUI;OUI;2024-06-15T12:51:48+02:00;48.88633710236977, 2.407338917255402;Le Pré-Saint-Gervais;
46002;Rouget de Lisle;OUI;35;3;30;8;22;OUI;OUI;2024-06-15T12:49:02+02:00;48.764615483395254, 2.4071189761161804;Choisy-le-Roi;
42706;Roger Salengro - Fontainebleau;OUI;25;23;2;0;2;OUI;OUI;2024-06-15T12:49:14+02:00;48.814548697325, 2.3611663654447;Le Kremlin-Bicêtre;
10016;Récollets - Square Villemin;OUI;17;1;16;12;4;OUI;OUI;2024-06-15T12:51:52+02:00;48.875034655883944, 2.359801238597928;Paris;
15104;Hôpital Européen Georges Pompidou;OUI;64;54;10;3;7;OUI;OUI;2024-06-15T12:47:15+02:00;48.83769531916335, 2.275374233722687;Paris;
31009;Place Du Général De Gaulle;OUI;26;19;7;0;7;OUI;OUI;2024-06-15T12:50:30+02:00;48.8687591, 2.4329931;Montreuil;
